Index	Label
0	age_bucket:20
1	age_bucket:30
2	age_bucket:40
3	age_bucket:50
4	age_bucket:60
5	age_bucket:>60
6	anonymity_:Yes
7	anonymity_:No
8	anonymity_:NA
9	benefits_i:Yes
10	benefits_i:No
11	benefits_i:NA
12	care_optio:Yes
13	care_optio:No
14	care_optio:Not Sure
15	country_in:United States
16	country_in:Canada
17	country_in:United Kingdom
18	country_in:Bulgaria
19	country_in:France
20	country_in:Portugal
21	country_in:Netherlands
22	country_in:Switzerland
23	country_in:Poland
24	country_in:Australia
25	country_in:Germany
26	country_in:Russia
27	country_in:Mexico
28	country_in:Brazil
29	country_in:Slovenia
30	country_in:Costa Rica
31	country_in:Austria
32	country_in:Ireland
33	country_in:India
34	country_in:South Africa
35	country_in:Italy
36	country_in:Sweden
37	country_in:Colombia
38	country_in:Latvia
39	country_in:Romania
40	country_in:Belgium
41	country_in:New Zealand
42	country_in:Spain
43	country_in:Finland
44	country_in:Uruguay
45	country_in:Israel
46	country_in:Bosnia and Herzegovina
47	country_in:Hungary
48	country_in:Singapore
49	country_in:Japan
50	country_in:Nigeria
51	country_in:Croatia
52	country_in:Norway
53	country_in:Thailand
54	country_in:Denmark
55	coworkers_:Yes
56	coworkers_:No
57	coworkers_:Some of them
58	family_his:Yes
59	family_his:No
60	gender_ind:Male
61	gender_ind:Female
62	gender_ind:None
63	leave_indi:NA
64	leave_indi:Somewhat easy
65	leave_indi:Somewhat difficult
66	leave_indi:Very difficult
67	leave_indi:Very easy
68	mental_hea:Yes
69	mental_hea:No
70	mental_hea:Maybe
71	mental_hea:Yes
72	mental_hea:No
73	mental_hea:Maybe
74	mental_vs_:Yes
75	mental_vs_:No
76	mental_vs_:NA
77	no_employe:1to5
78	no_employe:6to26
79	no_employe:26to100
80	no_employe:100to500
81	no_employe:500to1000
82	no_employe:MoreThan1000
83	obs_conseq:Yes
84	obs_conseq:No
85	phys_healt:Yes
86	phys_healt:No
87	phys_healt:Maybe
88	phys_healt:Yes
89	phys_healt:No
90	phys_healt:Maybe
91	remote_wor:Yes
92	remote_wor:No
93	seek_help_:Yes
94	seek_help_:No
95	seek_help_:NA
96	self_emplo:Yes
97	self_emplo:No
98	self_emplo:NA
99	state_indi:IL
100	state_indi:IN
101	state_indi:NA
102	state_indi:TX
103	state_indi:TN
104	state_indi:MI
105	state_indi:OH
106	state_indi:CA
107	state_indi:CT
108	state_indi:MD
109	state_indi:NY
110	state_indi:NC
111	state_indi:MA
112	state_indi:IA
113	state_indi:PA
114	state_indi:WA
115	state_indi:WI
116	state_indi:UT
117	state_indi:NM
118	state_indi:OR
119	state_indi:FL
120	state_indi:MN
121	state_indi:MO
122	state_indi:AZ
123	state_indi:CO
124	state_indi:GA
125	state_indi:DC
126	state_indi:NE
127	state_indi:WV
128	state_indi:OK
129	state_indi:KS
130	state_indi:VA
131	state_indi:NH
132	state_indi:KY
133	state_indi:AL
134	state_indi:NV
135	state_indi:NJ
136	state_indi:SC
137	state_indi:VT
138	state_indi:SD
139	state_indi:ID
140	state_indi:MS
141	state_indi:RI
142	state_indi:WY
143	state_indi:LA
144	state_indi:ME
145	supervisor:Yes
146	supervisor:No
147	supervisor:Some of them
148	tech_compa:Yes
149	tech_compa:No
150	wellness_p:Yes
151	wellness_p:No
152	wellness_p:NA
153	work_inter:NA
154	work_inter:Never
155	work_inter:Often
156	work_inter:Rarely
157	work_inter:Sometimes
